base	size	module	path
0x00007ff6bfd60000	0x60000	FakeHost.exe	E:\Sc2Cheat\Dll1\x64\Release\FakeHost.exe
0x00007ff942440000	0x267000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll
0x00007ff940d10000	0xc9000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL
0x00007ff93ed10000	0x3f4000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll
0x00007ff941a00000	0x1c5000	USER32.dll	C:\WINDOWS\System32\USER32.dll
0x00007ff93fce0000	0x27000	win32u.dll	C:\WINDOWS\System32\win32u.dll
0x00007ff940b80000	0x2b000	GDI32.dll	C:\WINDOWS\System32\GDI32.dll
0x00007ff93f110000	0x12b000	gdi32full.dll	C:\WINDOWS\System32\gdi32full.dll
0x00007ff93f240000	0xa3000	msvcp_win.dll	C:\WINDOWS\System32\msvcp_win.dll
0x00007ff93fe80000	0x14b000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll
0x00007ff941bd0000	0x32000	IMM32.DLL	C:\WINDOWS\System32\IMM32.DLL
0x00007ff93b820000	0xa9000	uxtheme.dll	C:\WINDOWS\system32\uxtheme.dll
0x00007ff9407e0000	0x382000	combase.dll	C:\WINDOWS\System32\combase.dll
0x00007ff9418e0000	0x118000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll
0x00007ff940bb0000	0x15c000	MSCTF.dll	C:\WINDOWS\System32\MSCTF.dll
0x00007ff9414f0000	0xa9000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll
0x00007ff93da60000	0x1b000	kernel.appcore.dll	C:\WINDOWS\SYSTEM32\kernel.appcore.dll
0x00007ff93fd10000	0xa5000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll
0x00007ff940640000	0xd8000	OLEAUT32.dll	C:\WINDOWS\System32\OLEAUT32.dll
0x00007ff9404a0000	0xa7000	sechost.dll	C:\WINDOWS\System32\sechost.dll
0x00007ff9140b0000	0x148000	textinputframework.dll	C:\WINDOWS\SYSTEM32\textinputframework.dll
0x00007ff93b070000	0x127000	CoreMessaging.dll	C:\WINDOWS\SYSTEM32\CoreMessaging.dll
0x00007ff936760000	0x2e2000	CoreUIComponents.dll	C:\WINDOWS\SYSTEM32\CoreUIComponents.dll
0x00007ff93ffd0000	0x16a000	wintypes.dll	C:\WINDOWS\System32\wintypes.dll
0x00007ff940720000	0xb6000	advapi32.dll	C:\WINDOWS\System32\advapi32.dll
0x00007ff93e210000	0xc000	CRYPTBASE.DLL	C:\WINDOWS\SYSTEM32\CRYPTBASE.DLL
0x00007ff90cc90000	0x76000	Oleacc.dll	C:\WINDOWS\system32\Oleacc.dll
