base	size	type	protect	module	diff_pages	diff_bytes	diff_ratio	first_diff	entropy	file_off	file_on
0x0000000180651000	0x60e000	IMAGE	EXECUTE_READWRITE	sc2C6B8.dll	1	2	0.00000032	0x00000001808a1000	5.686	region_0027_0x0000000180651000_0x60e000_IMAGE_EXECUTE_READWRITE.bin	region_0015_0x0000000180651000_0x60e000_IMAGE_EXECUTE_READWRITE.bin
0x00007ff41d6a0000	0x110000	PRIVATE	READWRITE		1	3	0.00000269	0x00007ff41d783000	4.255	region_7193_0x00007ff41d6a0000_0x110000_PRIVATE_READWRITE.bin	region_7203_0x00007ff41d6a0000_0x110000_PRIVATE_READWRITE.bin
0x00007ff4204a0000	0x110000	PRIVATE	READWRITE		1	3	0.00000269	0x00007ff42055e000	4.177	region_7229_0x00007ff4204a0000_0x110000_PRIVATE_READWRITE.bin	region_7239_0x00007ff4204a0000_0x110000_PRIVATE_READWRITE.bin
0x00007ff41eec0000	0x50000	PRIVATE	READWRITE		1	1	0.00000305	0x00007ff41ef05000	2.878	region_7210_0x00007ff41eec0000_0x50000_PRIVATE_READWRITE.bin	region_7220_0x00007ff41eec0000_0x50000_PRIVATE_READWRITE.bin
0x00000289e7aec000	0x47000	PRIVATE	READWRITE		1	1	0.00000344	0x00000289e7af2000	1.664	region_6344_0x00000289e7aec000_0x47000_PRIVATE_READWRITE.bin	region_6352_0x00000289e7aec000_0x47000_PRIVATE_READWRITE.bin
0x000002898b7ef000	0x40000	PRIVATE	READWRITE		1	1	0.00000381	0x000002898b81e000	4.240	region_0273_0x000002898b7ef000_0x40000_PRIVATE_READWRITE.bin	region_0261_0x000002898b7ef000_0x40000_PRIVATE_READWRITE.bin
0x00000289ff6c0000	0x40000	PRIVATE	READWRITE		1	1	0.00000381	0x00000289ff6c1000	2.396	region_6838_0x00000289ff6c0000_0x40000_PRIVATE_READWRITE.bin	region_6848_0x00000289ff6c0000_0x40000_PRIVATE_READWRITE.bin
0x00000289e2c45000	0x7e000	PRIVATE	READWRITE		2	2	0.00000388	0x00000289e2c9b000	0.003	region_6251_0x00000289e2c45000_0x7e000_PRIVATE_READWRITE.bin	region_6259_0x00000289e2c45000_0x7e000_PRIVATE_READWRITE.bin
0x000002899cdd2000	0x68000	PRIVATE	READWRITE		1	2	0.00000470	0x000002899cdf1000	3.060	region_1522_0x000002899cdd2000_0x68000_PRIVATE_READWRITE.bin	region_1515_0x000002899cdd2000_0x68000_PRIVATE_READWRITE.bin
0x00000289e2504000	0x89000	PRIVATE	READWRITE		1	3	0.00000535	0x00000289e2543000	0.005	region_6234_0x00000289e2504000_0x89000_PRIVATE_READWRITE.bin	region_6242_0x00000289e2504000_0x89000_PRIVATE_READWRITE.bin
0x00007ff428db0000	0x50000	PRIVATE	READWRITE		1	2	0.00000610	0x00007ff428db0000	0.009	region_7259_0x00007ff428db0000_0x50000_PRIVATE_READWRITE.bin	region_7269_0x00007ff428db0000_0x50000_PRIVATE_READWRITE.bin
0x00000289e2217000	0xa0000	PRIVATE	READWRITE		1	4	0.00000610	0x00000289e2275000	1.432	region_6225_0x00000289e2217000_0xa0000_PRIVATE_READWRITE.bin	region_6233_0x00000289e2217000_0xa0000_PRIVATE_READWRITE.bin
0x00000289ae36c000	0xbf000	PRIVATE	READWRITE		2	5	0.00000639	0x00000289ae3fe000	1.402	region_1568_0x00000289ae36c000_0xbf000_PRIVATE_READWRITE.bin	region_1562_0x00000289ae36c000_0xbf000_PRIVATE_READWRITE.bin
0x000000af43650000	0x8c000	PRIVATE	READWRITE		2	4	0.00000698	0x000000af4367e000	0.173	region_0035_0x000000af43650000_0x8c000_PRIVATE_READWRITE.bin	region_0023_0x000000af43650000_0x8c000_PRIVATE_READWRITE.bin
0x0000028982170000	0x20000	PRIVATE	READWRITE		1	1	0.00000763	0x0000028982183000	0.427	region_0189_0x0000028982170000_0x20000_PRIVATE_READWRITE.bin	region_0177_0x0000028982170000_0x20000_PRIVATE_READWRITE.bin
0x0000028982280000	0x20000	PRIVATE	READWRITE		1	1	0.00000763	0x0000028982298000	1.747	region_0200_0x0000028982280000_0x20000_PRIVATE_READWRITE.bin	region_0188_0x0000028982280000_0x20000_PRIVATE_READWRITE.bin
