score	kind	address	off	on	off_hex	on_hex	module	region_type	protect
41	float	0x000002898dc821e0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc822dc	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc830c0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc833a4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc83580	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc842bc	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc842c4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc843b4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc843b8	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc84d70	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc84d74	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc84d78	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc84d7c	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc852c4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc85578	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc85658	2	3	0x40000000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc85660	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc8576c	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc85cc8	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc88774	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc88840	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc888e0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc888e8	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc89288	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc89290	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc89360	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002898dc89368	2	3	0x40000000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b4e68	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b4e70	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b4e74	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b50dc	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b58b0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b58b8	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b5a70	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b5a74	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b5e24	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b5e28	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b5e2c	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b5fdc	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b60c4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b60d0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b6774	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b6854	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b6a38	2	3	0x40000000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b71d0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b72c0	2	3	0x40000000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b72c8	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b73b0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x000002899d7b7ff4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE
41	float	0x00000289e1ff00fc	1	2	0x3f800000	0x40000000		PRIVATE	READWRITE
35	float	0x000002899d690b28	1	10	0x3f800000	0x41200000		PRIVATE	READWRITE
35	float	0x00000289e1fed264	1	10	0x3f800000	0x41200000		PRIVATE	READWRITE
28	u32	0x000000af44435b20	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x000000af44435bb0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x000000af44435bc8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x000000af44435bf0	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x000000af44435da8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x000000af444377d0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x000000af44437bd0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
