score	kind	address	off	on	off_hex	on_hex	module	region_type	protect	region_base	region_size	region_file_off	region_file_on
41	float	0x000002898dc821e0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc822dc	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc830c0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc833a4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc83580	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc842bc	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc842c4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc843b4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc843b8	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc84d70	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc84d74	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc84d78	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc84d7c	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc852c4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc85578	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc85660	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc8576c	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc85cc8	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc88774	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc88840	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc888e0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
