file	base	allocation_base	size	bytes_read	protect	type
region_0000_0x000000006c8d8000_0x4000_IMAGE_READWRITE.bin	0x000000006c8d8000	0x000000006c7a0000	0x4000	0x4000	READWRITE	IMAGE
region_0001_0x000000006c8dc000_0x1000_IMAGE_WRITECOPY.bin	0x000000006c8dc000	0x000000006c7a0000	0x1000	0x1000	WRITECOPY	IMAGE
region_0002_0x000000006c8dd000_0x1a000_IMAGE_READWRITE.bin	0x000000006c8dd000	0x000000006c7a0000	0x1a000	0x1a000	READWRITE	IMAGE
region_0003_0x000000006c99c000_0x2000_IMAGE_READWRITE.bin	0x000000006c99c000	0x000000006c910000	0x2000	0x2000	READWRITE	IMAGE
region_0004_0x000000006c99e000_0x1000_IMAGE_WRITECOPY.bin	0x000000006c99e000	0x000000006c910000	0x1000	0x1000	WRITECOPY	IMAGE
region_0005_0x000000006c99f000_0x2000_IMAGE_READWRITE.bin	0x000000006c99f000	0x000000006c910000	0x2000	0x2000	READWRITE	IMAGE
region_0006_0x000000006ca62000_0x2000_IMAGE_READWRITE.bin	0x000000006ca62000	0x000000006c9b0000	0x2000	0x2000	READWRITE	IMAGE
region_0007_0x000000006ca64000_0x3000_IMAGE_WRITECOPY.bin	0x000000006ca64000	0x000000006c9b0000	0x3000	0x3000	WRITECOPY	IMAGE
region_0008_0x000000006ca67000_0x3000_IMAGE_READWRITE.bin	0x000000006ca67000	0x000000006c9b0000	0x3000	0x3000	READWRITE	IMAGE
region_0009_0x000000006ca71000_0x1000_IMAGE_WRITECOPY.bin	0x000000006ca71000	0x000000006c9b0000	0x1000	0x1000	WRITECOPY	IMAGE
region_0010_0x000000006cbc5000_0x1000_IMAGE_WRITECOPY.bin	0x000000006cbc5000	0x000000006ca90000	0x1000	0x1000	WRITECOPY	IMAGE
region_0011_0x000000006cbc6000_0x4000_IMAGE_READWRITE.bin	0x000000006cbc6000	0x000000006ca90000	0x4000	0x4000	READWRITE	IMAGE
region_0012_0x000000006cd78000_0x6000_IMAGE_READWRITE.bin	0x000000006cd78000	0x000000006cbe0000	0x6000	0x6000	READWRITE	IMAGE
region_0013_0x00000001800a9000_0x59f000_IMAGE_READWRITE.bin	0x00000001800a9000	0x0000000180000000	0x59f000	0x59f000	READWRITE	IMAGE
region_0014_0x000000018064f000_0x2000_IMAGE_READWRITE.bin	0x000000018064f000	0x0000000180000000	0x2000	0x2000	READWRITE	IMAGE
region_0015_0x0000000180651000_0x60e000_IMAGE_EXECUTE_READWRITE.bin	0x0000000180651000	0x0000000180000000	0x60e000	0x60e000	EXECUTE_READWRITE	IMAGE
region_0016_0x000000af435fe000_0x2000_PRIVATE_READWRITE.bin	0x000000af435fe000	0x000000af43580000	0x2000	0x2000	READWRITE	PRIVATE
region_0017_0x000000af43617000_0x9000_PRIVATE_READWRITE.bin	0x000000af43617000	0x000000af43600000	0x9000	0x9000	READWRITE	PRIVATE
region_0018_0x000000af43626000_0xc000_PRIVATE_READWRITE.bin	0x000000af43626000	0x000000af43600000	0xc000	0xc000	READWRITE	PRIVATE
region_0019_0x000000af43634000_0x4000_PRIVATE_READWRITE.bin	0x000000af43634000	0x000000af43600000	0x4000	0x4000	READWRITE	PRIVATE
region_0020_0x000000af4363c000_0x4000_PRIVATE_READWRITE.bin	0x000000af4363c000	0x000000af43600000	0x4000	0x4000	READWRITE	PRIVATE
region_0021_0x000000af43642000_0x2000_PRIVATE_READWRITE.bin	0x000000af43642000	0x000000af43600000	0x2000	0x2000	READWRITE	PRIVATE
region_0022_0x000000af43646000_0x8000_PRIVATE_READWRITE.bin	0x000000af43646000	0x000000af43600000	0x8000	0x8000	READWRITE	PRIVATE
region_0023_0x000000af43650000_0x8c000_PRIVATE_READWRITE.bin	0x000000af43650000	0x000000af43600000	0x8c000	0x8c000	READWRITE	PRIVATE
region_0024_0x000000af436e2000_0x8000_PRIVATE_READWRITE.bin	0x000000af436e2000	0x000000af43600000	0x8000	0x8000	READWRITE	PRIVATE
region_0025_0x000000af436f0000_0x1c000_PRIVATE_READWRITE.bin	0x000000af436f0000	0x000000af43600000	0x1c000	0x1c000	READWRITE	PRIVATE
region_0026_0x000000af4370e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4370e000	0x000000af43600000	0x2000	0x2000	READWRITE	PRIVATE
region_0027_0x000000af4373e000_0x18000_PRIVATE_READWRITE.bin	0x000000af4373e000	0x000000af43600000	0x18000	0x18000	READWRITE	PRIVATE
region_0028_0x000000af4375a000_0x4000_PRIVATE_READWRITE.bin	0x000000af4375a000	0x000000af43600000	0x4000	0x4000	READWRITE	PRIVATE
region_0029_0x000000af43764000_0x2000_PRIVATE_READWRITE.bin	0x000000af43764000	0x000000af43600000	0x2000	0x2000	READWRITE	PRIVATE
region_0030_0x000000af43768000_0x2000_PRIVATE_READWRITE.bin	0x000000af43768000	0x000000af43600000	0x2000	0x2000	READWRITE	PRIVATE
region_0031_0x000000af4377e000_0x4000_PRIVATE_READWRITE.bin	0x000000af4377e000	0x000000af43600000	0x4000	0x4000	READWRITE	PRIVATE
region_0032_0x000000af43784000_0x2000_PRIVATE_READWRITE.bin	0x000000af43784000	0x000000af43600000	0x2000	0x2000	READWRITE	PRIVATE
region_0033_0x000000af438f8000_0x8000_PRIVATE_READWRITE.bin	0x000000af438f8000	0x000000af43800000	0x8000	0x8000	READWRITE	PRIVATE
region_0034_0x000000af439fd000_0x3000_PRIVATE_READWRITE.bin	0x000000af439fd000	0x000000af43900000	0x3000	0x3000	READWRITE	PRIVATE
region_0035_0x000000af43afd000_0x3000_PRIVATE_READWRITE.bin	0x000000af43afd000	0x000000af43a00000	0x3000	0x3000	READWRITE	PRIVATE
region_0036_0x000000af43bfd000_0x3000_PRIVATE_READWRITE.bin	0x000000af43bfd000	0x000000af43b00000	0x3000	0x3000	READWRITE	PRIVATE
